stname,ctyname,aa_change,rtd_change,hisp_change,white_change
Alabama,Baldwin County,0.006587620999999988,0.8427244900000002,0.0029666039999999977,-0.019518319999999978
Kentucky,Ballard County,0.004335266999999997,2.0959189,0.0022638349999999988,-0.013539909999999988
Maryland,Baltimore city,-0.007242560000000009,-0.009419789999999983,0.009262755000000004,0.0024793499999999913
Maryland,Baltimore County,0.02334662999999998,-0.05675036,0.009993958999999997,-0.03816277000000001
South Carolina,Bamberg County,-0.009800310000000034,0.043728169999999955,0.004168561000000001,0.006345870000000031
Texas,Bandera County,0.0041447501000000005,1.6472099000000004,0.015357989999999988,-0.012440380000000029
Georgia,Banks County,0.0040741699999999985,3.9824418999999995,0.010311671000000001,-0.011594830000000056
Nebraska,Banner County,0.01396648,13.176570899999998,0.022374708,-0.012148849999999989
Idaho,Bannock County,0.001977046999999999,0.3526423000000001,0.016759238999999995,-0.009775519999999926
Michigan,Baraga County,0.004626721,0.796637,0.0060903174000000015,-0.013210590000000022
Kansas,Barber County,0.004461984199999999,3.4033141000000002,0.016392540000000004,-0.018887230000000033
West Virginia,Barbour County,0.011652540499999975,2.271249,-0.0029632485000000014,-0.01822633000000007
North Dakota,Barnes County,0.0159017273,0.9476994999999999,0.007693937999999999,-0.02840615000000002
Massachusetts,Barnstable County,0.009051021999999999,-0.003031850000000058,0.007611777,-0.01593274
South Carolina,Barnwell County,-0.001227440000000024,0.14398966000000013,0.004695061,-0.004495380000000049
Kentucky,Barren County,0.0012011460000000002,1.1051509,0.004390715999999999,-0.006093619999999911
Wisconsin,Barron County,0.0042604251,0.8610798399999999,0.005853002999999999,-0.00996507000000002
Georgia,Barrow County,0.0021264299999999986,0.5603137,0.015632488,-0.007820249999999973
Missouri,Barry County,0.003803779400000001,2.9945569000000005,0.018369899999999995,-0.01612944000000005
Indiana,Bartholomew County,0.0023526890000000016,0.8393687999999999,0.0038288639999999943,-0.042975490000000005
Missouri,Barton County,0.004829091299999998,4.9158770999999994,0.02058871200000001,-0.01827180999999989
Georgia,Bartow County,0.00680979000000001,0.9538822000000002,0.007090948,-0.011316649999999928
Texas,Bastrop County,-0.0046583709999999945,0.3626415999999999,0.04046341999999997,0.0015427500000000371
Missouri,Bates County,0.0022128344000000005,2.2313701999999997,0.005948182,-0.00965315
Virginia,Bath County,-0.0032078100000000054,2.5274314,0.0056525570000000025,-0.010119089999999886
Arkansas,Baxter County,0.0016439310000000002,1.5562697,0.006061874000000002,-0.006676379999999926
Michigan,Bay County,0.007908864999999987,1.0356702600000003,0.020699029999999993,-0.019995870000000027
Wisconsin,Bayfield County,0.0024335035,0.26919765000000007,0.008172462000000002,-0.012518469999999948
Texas,Baylor County,0.006311237000000001,3.1854202,0.002953849999999994,-0.019377529999999976
South Dakota,Beadle County,0.002447152000000001,1.1694139000000001,0.017280087,-0.06323934000000009
Idaho,Bear Lake County,0.0017021607,3.9041558000000007,0.006939254999999998,-0.009971970000000052
South Carolina,Beaufort County,-0.01732849999999997,0.3269434000000002,3.63749999999996e-4,0.008191649999999662
Louisiana,Beauregard Parish,-0.004693720000000012,1.6240144,0.008462784999999997,0.0021827300000000216
Utah,Beaver County,0.0048154551000000045,6.9001342999999995,0.039373932000000056,-0.034366079999999855
Montana,Beaverhead County,0.0013167282999999998,1.0732734,0.008883785999999998,-0.011886359999999985
Minnesota,Becker County,0.0017089299000000004,0.9376691999999998,0.007655704000000001,-0.010018639999999968
Oklahoma,Beckham County,6.438650000000004e-4,3.0188332,0.02512736,-0.010961529999999997
Tennessee,Bedford County,0.013908626499999993,5.0723994999999995,0.016082250699999995,-0.03470634999999955
Texas,Bee County,0.004052221999999994,0.1508562,0.02345281999999993,-0.008908930000000037
New Hampshire,Belknap County,0.0016596624000000003,0.45239934000000004,0.0043962620000000015,-0.004289919999999947
Texas,Bell County,0.01399843600000003,2.2695467000000002,0.031216188100000014,-0.02535623000000009
Ohio,Belmont County,5.189209999999986e-4,1.45671303,0.0033223359,-0.004864219999999975
Minnesota,Beltrami County,0.0016399491000000004,0.42892308,0.008111195,-0.020761959999999968
Georgia,Ben Hill County,0.01110386999999996,0.4603237,0.001697533000000001,-0.015915930000000023
Idaho,Benewah County,7.533667999999999e-4,2.149273,0.009498032,-0.004900220000000011
South Dakota,Bennett County,0.0040651964,0.5141709999999999,0.032491926,7.611500000000437e-4
Vermont,Bennington County,0.0034280414000000016,0.13143450000000007,0.004571515,-0.009115399999999996
North Dakota,Benson County,0.00452821235,0.6106549199999999,0.024695751000000002,-0.015836899999999987
Colorado,Bent County,-0.001106447999999996,0.6656242999999997,0.014815279999999986,-0.012308960000000035
Minnesota,Benton County,0.020581468200000008,7.5465284499999985,0.07422738299999998,-0.10889464999999987
Michigan,Benzie County,0.0017658262,0.48850245999999997,0.007804547000000002,-0.006826820000000011
New Jersey,Bergen County,0.0064304250000000035,-0.06667167000000007,0.03254063999999998,-0.026898980000000017
West Virginia,Berkeley County,-0.005469869999999988,1.1369544,0.006885113999999998,-0.006543340000000342
Pennsylvania,Berks County,0.007403985000000002,0.40226416,0.038686429999999994,-0.018945629999999936
